Date/Time,Active Energy (kcal),Source
2023-09-12 14:12:00,0.279,Lesley’s Apple Watch
2023-09-12 14:13:00,0.271,Lesley’s Apple Watch
2023-09-12 14:14:00,0.317,Lesley’s Apple Watch
2023-09-12 14:15:00,0.227,Lesley’s Apple Watch
2023-09-12 14:16:00,0.269,Lesley’s Apple Watch
2023-09-12 14:17:00,0.185,Lesley’s Apple Watch
2023-09-12 14:18:00,0.153,Lesley’s Apple Watch
2023-09-12 14:19:00,0.113,Lesley’s Apple Watch
2023-09-12 14:20:00,0.263,Lesley’s Apple Watch
2023-09-12 14:21:00,0.126,Lesley’s Apple Watch
2023-09-12 14:22:00,0.257,Lesley’s Apple Watch
2023-09-12 14:23:00,0.235,Lesley’s Apple Watch
2023-09-12 14:24:00,0.149,Lesley’s Apple Watch
2023-09-12 14:25:00,0.244,Lesley’s Apple Watch
2023-09-12 14:26:00,0.195,Lesley’s Apple Watch
2023-09-12 14:27:00,0.213,Lesley’s Apple Watch
2023-09-12 14:28:00,0.042,Lesley’s Apple Watch
2023-09-12 14:30:00,0.127,Lesley’s Apple Watch
2023-09-12 14:31:00,0.317,Lesley’s Apple Watch
2023-09-12 14:32:00,0.4,Lesley’s Apple Watch
2023-09-12 14:33:00,0.183,Lesley’s Apple Watch
2023-09-12 14:34:00,0.239,Lesley’s Apple Watch
2023-09-12 14:35:00,0.086,Lesley’s Apple Watch
2023-09-12 14:36:00,0.275,Lesley’s Apple Watch
2023-09-12 14:37:00,0.326,Lesley’s Apple Watch
2023-09-12 14:38:00,0.274,Lesley’s Apple Watch
2023-09-12 14:39:00,0.416,Lesley’s Apple Watch
2023-09-12 14:40:00,0.141,Lesley’s Apple Watch
2023-09-12 14:41:00,0.177,Lesley’s Apple Watch
2023-09-12 14:42:00,0.175,Lesley’s Apple Watch
2023-09-12 14:44:00,0.265,Lesley’s Apple Watch
2023-09-12 14:45:00,0.166,Lesley’s Apple Watch
2023-09-12 14:46:00,0.35,Lesley’s Apple Watch
2023-09-12 14:47:00,0.122,Lesley’s Apple Watch
2023-09-12 14:48:00,0.269,Lesley’s Apple Watch
2023-09-12 14:49:00,0.012,Lesley’s Apple Watch
2023-09-12 14:50:00,0.146,Lesley’s Apple Watch
2023-09-12 14:51:00,0.327,Lesley’s Apple Watch
2023-09-12 14:52:00,0.344,Lesley’s Apple Watch
2023-09-12 14:53:00,0.564,Lesley’s Apple Watch
2023-09-12 14:54:00,0.833,Lesley’s Apple Watch
2023-09-12 14:55:00,0.311,Lesley’s Apple Watch
2023-09-12 14:57:00,0.007,Lesley’s Apple Watch
2023-09-12 14:58:00,1.01,Lesley’s Apple Watch
2023-09-12 14:59:00,0.145,Lesley’s Apple Watch
2023-09-12 15:00:00,0.276,Lesley’s Apple Watch
2023-09-12 15:01:00,0.106,Lesley’s Apple Watch
2023-09-12 15:02:00,0.107,Lesley’s Apple Watch
2023-09-12 15:03:00,0.138,Lesley’s Apple Watch
2023-09-12 15:04:00,0.123,Lesley’s Apple Watch
2023-09-12 15:05:00,0.263,Lesley’s Apple Watch
2023-09-12 15:06:00,0.066,Lesley’s Apple Watch
2023-09-12 15:07:00,0.133,Lesley’s Apple Watch
2023-09-12 15:08:00,0.27,Lesley’s Apple Watch
2023-09-12 15:09:00,0.038,Lesley’s Apple Watch
2023-09-12 15:10:00,0.212,Lesley’s Apple Watch
2023-09-12 15:11:00,0.077,Lesley’s Apple Watch
2023-09-12 15:12:00,0.208,Lesley’s Apple Watch
2023-09-12 15:13:00,0.033,Lesley’s Apple Watch
2023-09-12 15:14:00,0.274,Lesley’s Apple Watch
2023-09-12 15:15:00,0.193,Lesley’s Apple Watch
2023-09-12 15:16:00,0.069,Lesley’s Apple Watch
2023-09-12 15:17:00,0.252,Lesley’s Apple Watch
2023-09-12 15:20:00,0.147,Lesley’s Apple Watch
2023-09-12 15:21:00,0.276,Lesley’s Apple Watch
2023-09-12 15:22:00,0.184,Lesley’s Apple Watch
2023-09-12 15:23:00,0.097,Lesley’s Apple Watch
2023-09-12 15:24:00,0.161,Lesley’s Apple Watch
2023-09-12 15:25:00,0.163,Lesley’s Apple Watch
2023-09-12 15:26:00,0.229,Lesley’s Apple Watch
2023-09-12 15:27:00,0.205,Lesley’s Apple Watch
2023-09-12 15:28:00,0.177,Lesley’s Apple Watch
2023-09-12 15:29:00,0.223,Lesley’s Apple Watch
2023-09-12 15:30:00,0.235,Lesley’s Apple Watch
2023-09-12 15:31:00,0.115,Lesley’s Apple Watch
2023-09-12 15:32:00,0.194,Lesley’s Apple Watch
2023-09-12 15:33:00,0.15,Lesley’s Apple Watch
2023-09-12 15:34:00,0.118,Lesley’s Apple Watch
2023-09-12 15:35:00,0.099,Lesley’s Apple Watch
2023-09-12 15:36:00,0.014,Lesley’s Apple Watch
2023-09-12 15:37:00,0.129,Lesley’s Apple Watch
2023-09-12 15:38:00,0.177,Lesley’s Apple Watch
2023-09-12 15:39:00,0.21,Lesley’s Apple Watch
2023-09-12 15:40:00,0.119,Lesley’s Apple Watch
2023-09-12 15:41:00,0.261,Lesley’s Apple Watch
2023-09-12 15:42:00,0.228,Lesley’s Apple Watch
2023-09-12 15:43:00,0.246,Lesley’s Apple Watch
2023-09-12 15:44:00,0.257,Lesley’s Apple Watch
2023-09-12 15:45:00,0.179,Lesley’s Apple Watch
2023-09-12 15:46:00,0.136,Lesley’s Apple Watch
2023-09-12 15:47:00,0.232,Lesley’s Apple Watch
2023-09-12 15:48:00,0.234,Lesley’s Apple Watch
2023-09-12 15:49:00,0.065,Lesley’s Apple Watch
2023-09-12 15:51:00,0.065,Lesley’s Apple Watch
2023-09-12 15:53:00,0.043,Lesley’s Apple Watch
2023-09-12 15:54:00,0.155,Lesley’s Apple Watch
